Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,AFG,"2005 PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51E+01,,,,,,,,,
Afghanistan,AFG,"2005 PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67E+01,,,,,,,,,
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46E+01,,,,,,,,,,3.75E+01,,,,,,,,,,4.10E+01,,,,
Afghanistan,AFG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04E+01,,,,,,,,,,2.43E+01,,,,,,,,,,2.90E+01,,,,
Afghanistan,AFG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.80E+01,,,,,,,,,,8.00E+01,,,,,,,,,,8.06E+01,,,,
Afghanistan,AFG,Access to non-solid fuel (% of population),EG.NSF.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00E+00,,,,,,,,,,8.57E+00,,,,,,,,,,1.49E+01,,,,
Afghanistan,AFG,"Access to non-solid fuel, rural (% of rural population)",EG.NSF.ACCS.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00E+00,,,,
Afghanistan,AFG,"Access to non-solid fuel, urban (% of urban population)",EG.NSF.ACCS.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.60E+01,,,,
Afghanistan,AFG,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57E+01,,,,,,,
Afghanistan,AFG,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.30E+01,,,,,,,
Afghanistan,AFG,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76E+01,,,,,,,
Afghanistan,AFG,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,,,,,,,,,,,,,,,2.67E+01,,,,,,,,,,,,,,,,,,,2.80E+01,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,,,,,,,,,,,,,,,8.50E+00,,,,,,,,,,,,,,,,,,,1.41E+01,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,,,,,,,,,,,,,,,4.40E+01,,,,,,,,,,,,,,,,,,,4.10E+01,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Adjusted net national income (constant 2005 US$),NY.ADJ.NNTY.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.68E+09,,,,,,,,,
Afghanistan,AFG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,,,,,,,,,,,1.66E+09,1.73E+09,1.51E+09,1.61E+09,2.00E+09,2.18E+09,2.36E+09,2.73E+09,3.07E+09,3.45E+09,3.28E+09,3.10E+09,,,,,,,,,,,,,,,,,,,,2.18E+09,3.63E+09,4.07E+09,4.75E+09,5.68E+09,6.36E+09,8.86E+09,9.07E+09,1.12E+10,1.41E+10,1.59E+10,1.83E+10,1.82E+10,
Afghanistan,AFG,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Adjusted net national income per capita (constant 2005 US$),NY.ADJ.NNTY.PC.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29E+02,,,,,,,,,
Afghanistan,AFG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,,,,,,,,,,,1.51E+02,1.53E+02,1.30E+02,1.34E+02,1.63E+02,1.74E+02,1.84E+02,2.10E+02,2.33E+02,2.60E+02,2.49E+02,2.39E+02,,,,,,,,,,,,,,,,,,,,1.02E+02,1.64E+02,1.76E+02,1.98E+02,2.29E+02,2.48E+02,3.36E+02,3.36E+02,4.04E+02,4.98E+02,5.46E+02,6.14E+02,5.95E+02,
Afghanistan,AFG,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.61E+01,-1.81E+01,-2.59E+01,-2.91E+01,-2.40E+01,-3.06E+01,
Afghanistan,AFG,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.67E+09,-2.26E+09,-4.15E+09,-5.22E+09,-4.94E+09,-6.25E+09,
Afghanistan,AFG,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.02E+01,-3.33E+01,-2.83E+01,-3.48E+01,
Afghanistan,AFG,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.83E+09,,,,
Afghanistan,AFG,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,,,,,,,,,,,1.25E-01,1.44E-01,1.41E-01,1.48E-01,1.54E-01,1.72E-01,1.58E-01,1.77E-01,1.55E-01,1.57E-01,1.39E-01,1.81E-01,,,,,,,,,,,,,,,,,,,,1.85E-01,6.31E-02,9.51E-02,1.08E-01,1.31E-01,1.59E-01,1.76E-01,3.46E-01,4.78E-01,4.83E-01,4.71E-01,4.83E-01,5.09E-01,
Afghanistan,AFG,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,,,,,,,,,,,2.24E+06,2.69E+06,2.30E+06,2.62E+06,3.38E+06,4.15E+06,4.14E+06,5.35E+06,5.23E+06,5.94E+06,5.15E+06,6.42E+06,7.30E+06,9.22E+06,1.08E+07,1.40E+07,1.30E+07,1.34E+07,1.28E+07,1.31E+07,1.32E+07,1.29E+07,7.63E+06,7.61E+06,7.55E+06,7.50E+06,7.30E+06,6.98E+06,6.77E+06,5.47E+06,5.32E+06,4.54E+06,2.60E+06,4.35E+06,5.69E+06,8.23E+06,1.13E+07,1.74E+07,3.54E+07,5.99E+07,7.73E+07,8.46E+07,9.96E+07,1.04E+08,
Afghanistan,AFG,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,,,,,,,,,,,5.43E+00,5.40E+00,5.24E+00,5.24E+00,5.32E+00,5.64E+00,5.64E+00,5.69E+00,5.72E+00,5.75E+00,6.27E+00,6.17E+00,,,,,,,,,,,,,,,,,,,,6.33E+00,7.03E+00,7.60E+00,8.29E+00,7.75E+00,8.04E+00,8.24E+00,8.92E+00,8.87E+00,9.19E+00,9.20E+00,9.25E+00,9.37E+00,
Afghanistan,AFG,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,,,,,,,,,,,9.68E+07,1.01E+08,8.55E+07,9.29E+07,1.17E+08,1.36E+08,1.47E+08,1.72E+08,1.93E+08,2.17E+08,2.33E+08,2.19E+08,,,,,,,,,,,,,,,,,,,,1.56E+08,2.90E+08,3.48E+08,4.39E+08,4.87E+08,5.71E+08,8.14E+08,9.13E+08,1.11E+09,1.47E+09,1.65E+09,1.91E+09,1.92E+09,
Afghanistan,AFG,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,,,,,,,,,,,1.00E+00,1.00E+00,1.00E+00,1.30E+00,1.25E+00,1.20E+00,1.30E+00,1.40E+00,1.40E+00,1.40E+00,1.60E+00,1.70E+00,,,,,,,,,,,,,,,,,,,,1.60E+00,1.60E+00,1.60E+00,1.60E+00,1.60E+00,1.60E+00,1.60E+00,1.60E+00,1.60E+00,1.60E+00,1.60E+00,1.60E+00,1.60E+00,
Afghanistan,AFG,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,,,,,,,,,,,1.78E+07,1.87E+07,1.63E+07,2.30E+07,2.75E+07,2.90E+07,3.39E+07,4.22E+07,4.72E+07,5.29E+07,5.95E+07,6.04E+07,,,,,,,,,,,,,,,,,,,,3.94E+07,6.59E+07,7.32E+07,8.47E+07,1.01E+08,1.14E+08,1.58E+08,1.64E+08,2.01E+08,2.56E+08,2.87E+08,3.30E+08,3.27E+08,
Afghanistan,AFG,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.30E+00,4.03E+00,,,,,,,,,,,,,,,,,,,,1.07E-01,4.37E-02,2.95E-02,4.03E-02,4.17E-02,3.73E-02,1.13E-01,3.35E-01,1.39E-01,2.80E-01,3.36E-01,2.17E-01,0.00E+00,
Afghanistan,AFG,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,,,,,,,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.54E+07,1.43E+08,1.45E+08,1.46E+08,1.40E+08,1.73E+08,1.47E+08,9.55E+07,9.84E+07,6.90E+07,8.27E+06,8.26E+06,6.67E+06,7.97E+06,7.04E+06,4.82E+06,7.53E+06,6.89E+06,5.28E+06,4.51E+06,1.16E+07,2.63E+06,1.80E+06,1.35E+06,2.14E+06,2.62E+06,2.65E+06,1.12E+07,3.43E+07,1.74E+07,4.48E+07,6.03E+07,4.48E+07,0.00E+00,
Afghanistan,AFG,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.63E+01,-8.91E+00,-1.58E+01,-1.92E+01,-1.45E+01,-2.11E+01,
Afghanistan,AFG,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,,,,,,,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,
Afghanistan,AFG,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,
Afghanistan,AFG,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,,,,,,,,,,,1.45E+00,1.70E+00,2.00E+00,3.79E+00,3.92E+00,4.01E+00,3.79E+00,3.60E+00,3.08E+00,2.83E+00,5.27E+00,6.34E+00,,,,,,,,,,,,,,,,,,,,5.10E+00,4.76E+00,3.31E+00,1.96E+00,1.69E+00,2.27E+00,1.80E+00,2.08E+00,1.41E+00,2.02E+00,1.80E+00,1.36E+00,1.21E+00,
Afghanistan,AFG,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,,,,,,,,,,,1.45E+00,1.70E+00,2.00E+00,3.79E+00,3.92E+00,4.01E+00,3.79E+00,3.60E+00,3.08E+00,2.83E+00,2.97E+00,2.30E+00,,,,,,,,,,,,,,,,,,,,4.99E+00,4.72E+00,3.28E+00,1.92E+00,1.65E+00,2.23E+00,1.69E+00,1.74E+00,1.27E+00,1.74E+00,1.47E+00,1.14E+00,1.21E+00,
Afghanistan,AFG,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,,,,,,,,,,,2.59E+07,3.18E+07,3.26E+07,6.71E+07,8.64E+07,9.70E+07,9.89E+07,1.09E+08,1.04E+08,1.07E+08,1.10E+08,8.18E+07,1.04E+08,8.65E+07,6.68E+07,7.52E+07,1.20E+08,8.72E+07,8.43E+07,1.04E+08,8.38E+07,8.74E+07,8.43E+07,1.08E+08,1.15E+08,1.19E+08,1.09E+08,1.20E+08,1.14E+08,1.40E+08,1.22E+08,1.23E+08,1.94E+08,1.50E+08,1.01E+08,1.04E+08,1.58E+08,1.67E+08,1.79E+08,1.59E+08,2.79E+08,2.64E+08,2.35E+08,2.48E+08,
Afghanistan,AFG,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.52E+01,-1.78E+01,-2.50E+01,-2.84E+01,-2.37E+01,-3.04E+01,
Afghanistan,AFG,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.58E+09,-2.23E+09,-4.00E+09,-5.09E+09,-4.89E+09,-6.22E+09,
Afghanistan,AFG,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.35E+00,,,,,4.27E+00,4.27E+00,4.27E+00,4.27E+00,
Afghanistan,AFG,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88E+08,,,,,6.84E+08,,,,
Afghanistan,AFG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,1.50E+02,1.50E+02,1.50E+02,1.50E+02,1.50E+02,1.50E+02,1.50E+02,1.50E+02,1.50E+02,1.50E+02,1.50E+02,1.50E+02,1.50E+02,1.51E+02,1.51E+02,1.52E+02,1.53E+02,1.54E+02,1.55E+02,1.56E+02,1.58E+02,1.59E+02,1.60E+02,1.61E+02,1.62E+02,1.63E+02,1.65E+02,1.66E+02,1.66E+02,1.67E+02,1.68E+02,1.68E+02,1.69E+02,1.69E+02,1.69E+02,1.70E+02,1.70E+02,1.70E+02,1.66E+02,1.62E+02,1.58E+02,1.54E+02,1.51E+02,1.44E+02,1.37E+02,1.31E+02,1.24E+02,1.17E+02,1.11E+02,1.05E+02,9.91E+01,9.30E+01,8.68E+01,8.32E+01,
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,8.58E+01,8.60E+01,8.61E+01,8.63E+01,8.66E+01,8.70E+01,8.76E+01,8.84E+01,8.92E+01,9.01E+01,9.09E+01,9.16E+01,9.22E+01,9.28E+01,9.33E+01,9.38E+01,9.42E+01,9.46E+01,9.49E+01,9.54E+01,9.59E+01,9.65E+01,9.73E+01,9.81E+01,9.90E+01,9.99E+01,1.01E+02,1.01E+02,1.02E+02,1.02E+02,1.02E+02,1.02E+02,1.01E+02,1.01E+02,1.01E+02,1.01E+02,1.02E+02,1.03E+02,1.04E+02,1.05E+02,1.06E+02,1.07E+02,1.06E+02,1.06E+02,1.06E+02,1.06E+02,1.05E+02,1.05E+02,1.05E+02,1.04E+02,1.03E+02,1.01E+02,9.88E+01,9.60E+01,
Afghanistan,AFG,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,4.56E+00,4.54E+00,4.53E+00,4.51E+00,4.50E+00,4.49E+00,4.49E+00,4.49E+00,4.49E+00,4.49E+00,4.50E+00,4.51E+00,4.51E+00,4.51E+00,4.51E+00,4.50E+00,4.48E+00,4.45E+00,4.42E+00,4.37E+00,4.31E+00,4.23E+00,4.14E+00,4.03E+00,3.93E+00,3.84E+00,3.77E+00,3.72E+00,3.70E+00,3.72E+00,3.79E+00,3.88E+00,3.99E+00,4.10E+00,4.18E+00,4.22E+00,4.25E+00,4.25E+00,4.24E+00,4.23E+00,4.21E+00,4.20E+00,4.18E+00,4.17E+00,4.17E+00,4.18E+00,4.21E+00,4.24E+00,4.29E+00,4.34E+00,4.40E+00,4.46E+00,4.53E+00,4.60E+00,
Afghanistan,AFG,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,8.12E+01,8.14E+01,8.16E+01,8.18E+01,8.21E+01,8.25E+01,8.31E+01,8.39E+01,8.47E+01,8.56E+01,8.64E+01,8.71E+01,8.77E+01,8.83E+01,8.88E+01,8.93E+01,8.97E+01,9.01E+01,9.05E+01,9.10E+01,9.16E+01,9.23E+01,9.31E+01,9.41E+01,9.51E+01,9.60E+01,9.69E+01,9.76E+01,9.82E+01,9.84E+01,9.84E+01,9.79E+01,9.73E+01,9.67E+01,9.65E+01,9.68E+01,9.76E+01,9.87E+01,1.00E+02,1.01E+02,1.02E+02,1.02E+02,1.02E+02,1.02E+02,1.02E+02,1.01E+02,1.01E+02,1.01E+02,1.01E+02,1.00E+02,9.87E+01,9.67E+01,9.43E+01,9.14E+01,
Afghanistan,AFG,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67E+00,4.62E+00,7.26E+00,5.50E+00,5.84E+00,6.09E+00,5.94E+00,5.78E+00,4.84E+00,5.00E+00,5.39E+00,5.47E+00,,
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,,5.77E+01,5.78E+01,5.79E+01,5.80E+01,5.80E+01,5.81E+01,5.82E+01,5.82E+01,5.82E+01,5.82E+01,5.83E+01,5.83E+01,5.83E+01,5.83E+01,5.83E+01,5.83E+01,5.83E+01,5.83E+01,5.83E+01,5.83E+01,5.83E+01,5.83E+01,5.83E+01,5.83E+01,5.83E+01,5.83E+01,5.83E+01,5.83E+01,5.83E+01,5.83E+01,5.83E+01,5.83E+01,5.81E+01,5.79E+01,5.78E+01,5.78E+01,5.79E+01,5.80E+01,5.78E+01,5.78E+01,5.78E+01,5.78E+01,5.81E+01,5.81E+01,5.81E+01,5.81E+01,5.81E+01,5.81E+01,5.81E+01,5.81E+01,5.81E+01,5.81E+01,,
Afghanistan,AFG,Agricultural land (sq. km),AG.LND.AGRI.K2,,3.77E+05,3.78E+05,3.78E+05,3.79E+05,3.79E+05,3.79E+05,3.80E+05,3.80E+05,3.80E+05,3.80E+05,3.80E+05,3.80E+05,3.80E+05,3.80E+05,3.80E+05,3.80E+05,3.81E+05,3.81E+05,3.80E+05,3.80E+05,3.81E+05,3.81E+05,3.81E+05,3.81E+05,3.81E+05,3.81E+05,3.80E+05,3.80E+05,3.80E+05,3.80E+05,3.80E+05,3.80E+05,3.79E+05,3.78E+05,3.78E+05,3.78E+05,3.78E+05,3.79E+05,3.78E+05,3.78E+05,3.78E+05,3.78E+05,3.79E+05,3.79E+05,3.79E+05,3.79E+05,3.79E+05,3.79E+05,3.79E+05,3.79E+05,3.79E+05,3.79E+05,,
Afghanistan,AFG,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,1.20E+02,1.50E+02,2.00E+02,2.00E+02,3.00E+02,4.00E+02,5.00E+02,5.00E+02,5.50E+02,5.50E+02,6.00E+02,6.00E+02,5.85E+02,5.70E+02,5.50E+02,5.30E+02,5.15E+02,4.95E+02,4.50E+02,4.00E+02,3.50E+02,3.00E+02,2.50E+02,2.00E+02,1.50E+02,1.50E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.20E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,1.10E+02,,,,,,,,,,,,,,
Afghanistan,AFG,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,1.57E-01,1.95E-01,2.58E-01,2.56E-01,3.85E-01,5.11E-01,6.37E-01,6.37E-01,7.00E-01,6.99E-01,7.59E-01,7.59E-01,7.40E-01,7.21E-01,6.95E-01,6.70E-01,6.51E-01,6.26E-01,5.69E-01,5.06E-01,4.42E-01,3.79E-01,3.16E-01,2.53E-01,1.90E-01,1.90E-01,1.52E-01,1.52E-01,1.52E-01,1.52E-01,1.52E-01,1.39E-01,1.41E-01,1.43E-01,1.44E-01,1.44E-01,1.43E-01,1.42E-01,1.44E-01,1.43E-01,,,,,,,,,,,,,,
Afghanistan,AFG,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,5.38E+01,6.11E+01,5.44E+01,4.58E+01,5.17E+01,4.64E+01,3.81E+01,3.81E+01,3.58E+01,4.57E+01,3.39E+01,2.69E+01,3.15E+01,3.37E+01,3.94E+01,3.68E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.03E+00,7.56E+00,1.08E+01,1.29E+01,2.37E-01,3.70E-02,
Afghanistan,AFG,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,9.67E-01,1.39E+00,1.50E+00,1.08E+00,6.73E-01,8.28E-01,1.04E+00,1.46E+00,1.46E+00,9.82E-01,1.76E+00,3.47E+00,3.11E+00,1.55E+00,1.75E+00,1.31E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37E-03,,,,,,
Afghanistan,AFG,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28E+02,4.24E+02,3.18E+02,3.62E+02,3.34E+02,3.73E+02,3.11E+02,4.39E+02,4.01E+02,3.60E+02,4.13E+02,4.00E+02,
Afghanistan,AFG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85E+01,3.78E+01,3.03E+01,3.18E+01,2.92E+01,3.06E+01,2.54E+01,3.02E+01,2.71E+01,2.45E+01,2.46E+01,2.40E+01,
Afghanistan,AFG,"Agriculture, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80E+00,-2.22E+01,1.77E+01,-5.11E+00,1.47E+01,-1.49E+01,4.46E+01,-6.37E+00,-7.59E+00,1.82E+01,-2.22E-01,
